Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
0fca59218b11688279d795c03c4d16f851f13fa0,e2c349c7cbb608d552aa0b5814031943f13641ef9e50d86361d598aa3277fc35fabc76bd437f793774e6deaa6f2a0f29b8a87b0cf22b5a27b6c10f6f5ed614ae,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1037.0,4.82,,,6.0,32.0,15.75,3.25,0.0,0.0,19.5,Credit Card,Taxicab Insurance Agency Llc,41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
1e539d6e7501164c6b76b761c3152c235e206d59,4ab7a7510c1ebcc9b2e3eaa7bdd6508dbea34da7986aca2d8478bb55d1eabf707cda06384ba05783521e50bd5c027c95e6feda8af5eb623f31aceb1c9cf7c6cf,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1341.0,16.63,,,76.0,8.0,41.5,5.0,0.0,6.0,53.0,Credit Card,Sun Taxi,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
2b3c5200439d51f626b60380809bbbcca766a85b,8c76eb82f069c0731a0049cb78898f02cc5ac6990244c9f23ce4c5b179ff673b93b41388abfa1ffd3acdbeb4801f9dda7239b315c547c6fabced3482e927f7f2,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,844.0,3.84,,,24.0,8.0,16.14,4.03,0.0,0.0,20.17,Mobile,Sun Taxi,41.901206994,-87.676355989,POINT (-87.6763559892 41.9012069941),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
45b2ea39cfff64d61a46ef016e16f8ee74e9ed23,a688de71e9eb70603ba839dc7faf949968ae3e971e057560d0e328a1d57dd8a3063694fb6ddfec27e8f30030b8bb441aeb3c5484ce53392c3ebed684eb8c1535,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,361.0,0.63,,,32.0,32.0,5.5,0.0,0.0,1.0,6.5,Cash,5 Star Taxi,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
464df6aaaf97ca8745985c2a5b2e481067a2bfb6,8b1a88e5a09cfd55ca72d267f00f56fa50a42aa322bdfe4c7d1987472194b28fc5e15d53fe0706df3088ee2b3d7d5bb71396c1cde9a99a832a543675ed76dc95,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,704.0,0.99,,,14.0,14.0,7.75,0.0,0.0,0.0,7.75,Cash,Flash Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
4d3e9a10152cf6629b21d41d4142c2238897b233,36add30222345794b60adf964631e6a1994b1a77c74105252a2841c07f883b2260c14571bd2d588607f0025d3c9377195275a0baaa415a51181b4b975e7480c6,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,306.0,0.77,,,32.0,8.0,5.5,4.0,0.0,1.0,11.0,Credit Card,Sun Taxi,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
5a40e60d165b75a1e49b5db7c73a56c15542beba,a1b762f1aec578cc84bb53bb095eaf9dffd68e6ad0c27187418462087e8a9568a8d98ced316271f1c63b26edf81376ed74f30eb4869d06bbec089b7698205d61,01/01/2023 12:00:00 AM,01/01/2023 12:15:00 AM,1180.0,0.0,,,23.0,8.0,24.16,6.03,0.0,0.0,30.19,Mobile,Flash Cab,41.900069603,-87.720918238,POINT (-87.7209182385 41.9000696026),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
5917ae30e5a8dc388b3577a27f9b8e845082e253,32995ef9e82cc7265f1306530cb4f500562aea5b666387e988d6aeddd6eba3a243dc7d04cf09977e2ff14a5c1193618c164752c8ea7a6e252a8cd51d5bd264bf,01/01/2023 12:00:00 AM,01/01/2023 12:00:00 AM,540.0,1.1,,,8.0,32.0,7.0,0.0,0.0,0.0,7.0,Cash,Top Cab Affiliation,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
5bd5f7e751eb7a5708edfb81980ab24c6bb2b7a8,7cb607b940a690e65b20dec20182d2646d3306f725130c6567b45dff33b1d5b065399e33615a630057f59f9c6e9c8d019c2797dcaa8020e19af7fceaa71f3d2a,01/01/2023 12:00:00 AM,01/01/2023 12:30:00 AM,2040.0,17.3,,,76.0,,43.0,11.0,0.0,32.0,86.5,Credit Card,Globe Taxi,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
71a2a8f140ec5b37540bee1cd39a96d46f2cd54a,c797f1560410b9db343567ea7c8e4095f66ceb65800fa466623d4695efdf3151679fb9bfe88ee18d47096e518c23d9c517e741de11df233e4c4bc11da8c3d8b1,01/01/2023 12:00:00 AM,01/01/2023 12:45:00 AM,3294.0,17.63,,,77.0,43.0,53.94,0.0,0.0,0.0,53.94,Cash,Flash Cab,41.9867118,-87.663416405,POINT (-87.6634164054 41.9867117999),41.761577908,-87.572781987,POINT (-87.5727819867 41.7615779081)
